project,type,url,name,summary,description,package stats
0ad,,http://play0ad.com/,0,0,0,0
4Pane,,http://www.4pane.co.uk/,0,0,0,0
Add64,,http://www.amsynth.com/add64.html,0,0,0,0
BlockOutII,,http://www.blockout.net/blockout2/,0,0,0,0
cmake-gui,,http://www.cmake.org,0,0,0,0
crrcsim,,https://sourceforge.net/projects/crrcsim/,0,0,0,0
CardManager,,http://cardmanager.wz.cz/,0,0,0,0
CriticalMass,,http://criticalmass.sourceforge.net/,0,0,0,0
FlightGear,,http://www.flightgear.org/,0,0,0,0
gnusim8085,,http://gnusim8085.org/,0,0,0,0
gameconqueror,,https://code.google.com/p/scanmem/,0,0,0,0
gammaray,,https://www.kdab.com/kdab-products/gammaray/,0,0,0,0
IQmol,,http://iqmol.org,0,0,0,0
icegrid-gui,,http://www.zeroc.com/,0,0,0,0
kgoldrunner,,https://projects.kde.org/projects/kde/kdegames/kgoldrunner,0,0,0,0
kmail,,http://www.kde.org/,0,0,0,0
knode,,http://www.kde.org/,0,0,0,0
kontact,,http://www.kde.org/,0,0,0,0
libreatlas,,https://www.gaia-gis.it/fossil/libreatlas/home,0,0,0,0
hugin,,http://hugin.sourceforge.net/,0,0,0,0
Panini,,http://sourceforge.net/projects/pvqt/,0,0,0,0
polybori-gui,,http://polybori.sourceforge.net/,0,0,0,0
RemoteBox,,http://remotebox.knobgoblin.org.uk/,0,0,0,0
Saaghar,,http://sourceforge.net/projects/saaghar/,0,0,0,0
scite,,http://www.scintilla.org/SciTE.html,0,0,0,0
Thunar,,http://xfce.org/projects,yes,yes,0,0
tzclock,,http://www.tzclock.org/,0,0,0,0
httrack,,http://www.httrack.com,0,0,0,0
yagf,,http://symmetrica.net/cuneiform-linux/yagf-en.html,0,0,0,0
abe,,http://abe.sourceforge.net/,0,0,0,0
abiword,,http://www.abisource.com/,0,0,0,0
accerciser,,https://live.gnome.org/Accerciser,0,0,0,0
torque-gui,,http://www.adaptivecomputing.com/products/open-source/torque/,0,0,0,0
torque-gui,,http://www.adaptivecomputing.com/products/open-source/torque/,0,0,0,0
aeskulap,,http://aeskulap.nongnu.org,0,0,0,0
akonadiconsole,,http://www.kde.org/,0,0,0,0
akregator,,http://www.kde.org/,0,0,0,0
alexandria,,http://alexandria.rubyforge.org/,0,0,0,0
alienarena,,http://red.planetarena.org/,0,0,0,0
almanah,,http://tecnocode.co.uk/projects/almanah/,0,0,0,0
alt-ergo-gui,,http://alt-ergo.ocamlpro.com/,0,0,0,0
amarok,,http://amarok.kde.org/,0,0,0,0
amoebax,,http://www.emma-soft.com/games/amoebax/,0,0,0,0
anjuta,,http://www.anjuta.org/,0,0,0,0
anki,,http://ankisrs.net/,0,0,0,0
ansifilter-gui,,http://www.andre-simon.de/doku/ansifilter/ansifilter.php,0,0,0,0
ibus-anthy-python,,http://code.google.com/p/ibus/,0,0,0,0
antimicro,,https://github.com/Ryochan7/antimicro,0,0,0,0
antlrworks,,http://www.antlr3.org/works,0,0,0,0
apper,,https://projects.kde.org/projects/extragear/sysadmin/apper/,0,0,0,0
apx,,https://github.com/projecthamster/apx,0,0,0,0
aqemu,,http://aqemu.sourceforge.net,0,0,0,0
arc-gui-clients,,http://sourceforge.net/projects/arc-gui-clients/,0,0,0,0
ardour,,http://ardour.org,0,0,0,0
ardour3,,http://ardour.org,0,0,0,0
arduino,,http://arduino.cc/,0,0,0,0
ark,,http://kde.org/applications/utilities/ark/,0,0,0,0
armacycles-ad,,http://armagetronad.sf.net,0,0,0,0
arora,,http://code.google.com/p/arora/,0,0,0,0
artha,,http://artha.sourceforge.net/,0,0,0,0
asc,,http://www.asc-hq.org/,0,0,0,0
ascend,,http://ascend4.org/,0,0,0,0
ascii-design,,http://ascii-design.sourceforge.net/,0,0,0,0
python-ase,,https://wiki.fysik.dtu.dk/ase/,0,0,0,0
astromenace,,http://www.viewizard.com/,0,0,0,0
asunder,,http://littlesvr.ca/asunder,0,0,0,0
asylum,,http://sdl-asylum.sourceforge.net,0,0,0,0
atanks,,http://atanks.sourceforge.net/index.html,0,0,0,0
atril,,http://mate-desktop.org,0,0,0,0
audacious,,http://audacious-media-player.org/,0,0,0,0
audacity,,http://audacity.sourceforge.net/,0,0,0,0
audex,,http://opensource.maniatek.de/audex/,0,0,0,0
autokey-gtk,,http://autokey.googlecode.com,0,0,0,0
autokey-qt,,http://autokey.googlecode.com,0,0,0,0
avahi-ui-tools,,http://avahi.org,0,0,0,0
avogadro,,http://avogadro.openmolecules.net/,0,0,0,0
backintime-kde,,http://backintime.le-web.org,0,0,0,0
bacula-console-bat,,http://www.bacula.org,0,0,0,0
bacula-traymonitor,,http://www.bacula.org,0,0,0,0
ballerburg,,http://baller.tuxfamily.org/,0,0,0,0
ballz,,http://code.google.com/p/db-tins07/,0,0,0,0
balsa,,http://pawsa.fedorapeople.org/balsa/,0,0,0,0
baobab,,https://wiki.gnome.org/Apps/Baobab,0,0,0,0
barrage,,http://lgames.sourceforge.net/index.php?project=Barrage,0,0,0,0
batti,,http://batti-gtk.googlecode.com/,0,0,0,0
berusky,,http://www.anakreon.cz/?q=node/1,0,0,0,0
berusky2,,http://www.anakreon.cz/en/Berusky2.htm,0,0,0,0
bibletime,,http://www.bibletime.info/,0,0,0,0
bijiben,,https://wiki.gnome.org/Apps/Bijiben,0,0,0,0
billiards,,http://www.nongnu.org/billiards/,0,0,0,0
biloba,,http://biloba.sourceforge.net/,0,0,0,0
birdie,,http://birdieapp.github.io/,0,0,0,0
bleachbit,,http://bleachbit.sourceforge.net/,0,0,0,0
blender,,http://www.blender.org/,0,0,0,0
blinken,,http://edu.kde.org/blinken/,0,0,0,0
blobwars,,http://www.parallelrealities.co.uk/p/blob-wars-metal-blob-solid.html,0,0,0,0
bluedevil,,https://projects.kde.org/projects/extragear/base/bluedevil,0,0,0,0
bluefish-shared-data,,http://bluefish.openoffice.nl/,0,0,0,0
ibus-bogo,,http://github.com/BoGoEngine/ibus-bogo-python,0,0,0,0
boinc-manager,,http://boinc.berkeley.edu/,0,0,0,0
boswars,,http://www.boswars.org/,0,0,0,0
brasero,,http://www.gnome.org/projects/brasero/,0,0,0,0
bristol,,http://bristol.sourceforge.net,0,0,0,0
btanks,,http://btanks.sourceforge.net/,0,0,0,0
budgie,,http://ikeydoherty.github.io/budgie/,0,0,0,0
bustle,,http://willthompson.co.uk/bustle/,0,0,0,0
byobu,,http://launchpad.net/byobu,0,0,0,0
caja,,http://mate-desktop.org,0,0,0,0
mate-file-manager,,http://mate-desktop.org,0,0,0,0
calf,,http://calf.sourceforge.net/,0,0,0,0
calibre,,http://calibre-ebook.com/,0,0,0,0
calibre,,http://calibre-ebook.com/,0,0,0,0
calibre,,http://calibre-ebook.com/,0,0,0,0
calibre,,http://calibre-ebook.com/,0,0,0,0
ibus-cangjie,,http://cangjians.github.io/ibus-cangjie,0,0,0,0
cantor,,http://edu.kde.org/cantor/,0,0,0,0
cardpeek,,http://code.google.com/p/cardpeek/,0,0,0,0
catfish,,https://launchpad.net/catfish-search/,0,0,0,0
cbrpager,,http://www.jcoppens.com/soft/cbrpager/index.en.php,0,0,0,0
ccgo,,http://ccdw.org/~cjj/prog/ccgo/,0,0,0,0
celestia,,http://www.shatters.net/celestia/,0,0,0,0
cellwriter,,http://code.google.com/p/cellwriter/,0,0,0,0
chatzilla,,http://chatzilla.rdmsoft.com/xulrunner/,0,0,0,0
cheese,,https://wiki.gnome.org/Apps/Cheese,0,0,0,0
cherrytree,,http://www.giuspen.com/cherrytree,0,0,0,0
ibus-chewing,,https://code.google.com/p/ibus/wiki/ChewingUserGuide,0,0,0,0
childsplay,,http://www.schoolsplay.org/,0,0,0,0
chinese-calendar,,https://launchpad.net/chinese-calendar,0,0,0,0
chirp,,http://chirp.danplanet.com/,0,0,0,0
chkrootkit,,http://www.chkrootkit.org,0,0,0,0
chocolate-doom,,http://chocolate-doom.org/,0,0,0,0
clamtk,,https://bitbucket.org/dave_theunsub/clamtk/,0,0,0,0
claws-mail,,http://claws-mail.org,0,0,0,0
clementine,,http://code.google.com/p/clementine-player,0,0,0,0
code-editor,,http://qt.gitorious.org/~ilyesgouta/qt-creator/code-editor,0,0,0,0
colorhug-client,,http://www.hughski.com/,0,0,0,0
colorhug-client,,http://www.hughski.com/,0,0,0,0
colossus,,http://colossus.sourceforge.net/,0,0,0,0
converseen,,http://converseen.fasterland.net/,0,0,0,0
covered,,http://covered.sourceforge.net/,0,0,0,0
cqrlog,,http://www.cqrlog.com/,0,0,0,0
crossfire-client,,http://crossfire.real-time.com,0,0,0,0
curblaster,,http://curblaster.sourceforge.net,0,0,0,0
cutecw,,http://www.hamtools.org/cutecw/,0,0,0,0
d-feet,,https://live.gnome.org/DFeet/,0,0,0,0
darkplaces-quake,,http://www.xonotic.org/,0,0,0,0
darktable,,http://www.darktable.org/,0,0,0,0
datovka,,http://labs.nic.cz/datove-schranky/,0,0,0,0
dconf-editor,,http://live.gnome.org/dconf,0,0,0,0
decibel-audio-player,,http://decibel.silent-blade.org/,0,0,0,0
denemo,,http://www.denemo.org/,0,0,0,0
devassistant,,http://devassistant.org/,0,0,0,0
devhelp,,http://live.gnome.org/devhelp,0,0,0,0
dexter,,http://launchpad.net/dexter-rolodex,0,0,0,0
dia,,https://wiki.gnome.org/Apps/Dia,0,0,0,0
diffuse,,http://diffuse.sourceforge.net/,0,0,0,0
digikam,,http://www.digikam.org/,0,0,0,0
dillo,,http://www.dillo.org/,0,0,0,0
din,,http://www.dinisnoise.org,0,0,0,0
kipi-plugins,,http://www.digikam.org/,0,0,0,0
dnssec-check,,http://www.dnssec-tools.org/,0,0,0,0
dnssec-nodes,,http://www.dnssec-tools.org/,0,0,0,0
dolphin,,http://dolphin.kde.org/,0,0,0,0
dosbox,,http://dosbox.sf.net,0,0,0,0
dreampie,,http://www.dreampie.org/,0,0,0,0
drumkv1,,http://drumkv1.sourceforge.net,0,0,0,0
drumstick-examples,,http://drumstick.sourceforge.net/,0,0,0,0
drumstick-examples,,http://drumstick.sourceforge.net/,0,0,0,0
drumstick-examples,,http://drumstick.sourceforge.net/,0,0,0,0
dsi,,http://sourceforge.net/projects/dspaceinvadors/,0,0,0,0
dvdisaster,,http://dvdisaster.net,0,0,0,0
dwb,,https://bitbucket.org/portix/dwb/wiki/Home,0,0,0,0
easystroke,,https://github.com/thjaeger/easystroke/wiki,0,0,0,0
easytag,,https://wiki.gnome.org/Apps/EasyTAG,0,0,0,0
ebumeter,,http://kokkinizita.linuxaudio.org/linuxaudio,0,0,0,0
ecl,,http://ecls.sourceforge.net/,0,0,0,0
eclipse-platform,,http://eclipse.org,0,0,0,0
edb,,http://codef00.com/projects,0,0,0,0
edgar,,http://www.parallelrealities.co.uk/p/legend-of-edgar.html,0,0,0,0
eekboard,,http://fedorahosted.org/eekboard/,0,0,0,0
kicad,,https://launchpad.net/kicad,0,0,0,0
emacs-terminal,,http://www.gnu.org/software/emacs/,0,0,0,0
emacs,,http://www.gnu.org/software/emacs/,0,0,0,0
emelfm2,,http://emelfm2.net/,0,0,0,0
ibus-table-code,,https://code.google.com/p/ibus-table-emoji/,0,0,0,0
empathy,,https://wiki.gnome.org/Empathy,0,0,0,0
engauge-digitizer,,http://digitizer.sourceforge.net/,0,0,0,0
mate-file-archiver,,http://mate-desktop.org,0,yes,0,0
engrid,,http://engits.eu/en/engrid,0,0,0,0
enigma,,http://www.nongnu.org/enigma/,0,0,0,0
enlightenment-data,,http://enlightenment.org,0,0,0,0
entangle,,http://entangle-photo.org/,0,0,0,0
eog,,http://projects.gnome.org/eog/,0,0,0,0
eom,,http://mate-desktop.org,0,0,0,0
epiphany,,http://projects.gnome.org/epiphany/,0,0,0,0
aqsis,,http://www.aqsis.org,0,0,0,0
equalx,,http://equalx.sourceforge.net,0,0,0,0
eric,,http://eric-ide.python-projects.org,0,0,0,0
escape,,http://escape.spacebar.org/,0,0,0,0
eterm,,http://www.eterm.org/,0,0,0,0
etherape,,http://etherape.sourceforge.net/,0,0,0,0
extremetuxracer,,http://extremetuxracer.sourceforge.net/,0,0,0,0
ettercap,,http://ettercap.github.io/ettercap/,0,0,0,0
evince,,http://projects.gnome.org/evince/,0,0,0,0
evolution,,https://live.gnome.org/Apps/Evolution,0,0,0,0
exaile,,http://www.exaile.org,0,0,0,0
exfalso,,https://quodlibet.readthedocs.org,0,0,0,0
expendable,,https://fedorahosted.org/expendable/,0,0,0,0
kipi-plugins,,http://www.digikam.org/,0,0,0,0
extrema,,http://exsitewebware.com/extrema/,0,0,0,0
fatrat,,http://fatrat.dolezel.info,0,0,0,0
fbg2,,http://sourceforge.net/projects/fbg/,0,0,0,0
fbzx,,http://www.rastersoft.com/fbzx.html,0,0,0,0
codeblocks,,http://www.codeblocks.org/,0,0,0,0
fedora-gooey-karma,,https://fedoraproject.org/wiki/Fedora_Gooey_Karma,0,0,0,0
ffgtk,,,0,0,0,0
fgrun,,http://sourceforge.net/projects/fgrun,0,0,0,0
file-roller,,http://download.gnome.org/sources/file-roller/,0,0,0,0
filelight,,http://utils.kde.org/projects/filelight,0,0,0,0
filezilla,,http://filezilla-project.org/,0,0,0,0
fillets-ng,,http://fillets.sourceforge.net/,0,0,0,0
findthatword,,http://findthatword.sourceforge.net/,0,0,0,0
firefox,,http://www.mozilla.org/en-US/,0,0,0,0
firewall-config,,http://www.firewalld.org,0,0,0,0
fityk,,http://fityk.nieto.pl/,0,0,0,0
flare,,http://www.flarerpg.org,0,0,0,0
flaw,,http://flaw.sourceforge.net/,0,0,0,0
florence,,http://florence.sourceforge.net,0,0,0,0
fltk-fluid,,http://www.fltk.org/,0,0,0,0
flumotion,,http://www.flumotion.net/,0,0,0,0
flush,,http://flush.sourceforge.net/,0,0,0,0
fmit,,http://home.gna.org/fmit/index.html,0,0,0,0
fmtools-tkradio,,http://benpfaff.org/fmtools,0,0,0,0
focuswriter,,http://gottcode.org/focuswriter/,0,0,0,0
font-manager,,http://code.google.com/p/font-manager,0,0,0,0
fontforge,,http://fontforge.sourceforge.net/,0,0,0,0
fontmatrix,,http://fontmatrix.be/node/21,0,0,0,0
fonts-tweak-tool,,https://bitbucket.org/tagoh/fonts-tweak-tool/,0,0,0,0
fotoxx,,http://www.kornelix.com/fotoxx.html,0,0,0,0
fourterm,,https://github.com/lzap/fourterm,0,0,0,0
foxtrotgps,,http://www.foxtrotgps.org,0,0,0,0
freecad,,http://sourceforge.net/apps/mediawiki/free-cad/,0,0,0,0
freeciv,,http://www.freeciv.org/,0,0,0,0
freeciv,,http://sourceforge.net/projects/freeciv/,0,0,0,0
freecol,,http://www.freecol.org/,0,0,0,0
freediams,,http://freemedforms.com/en/start,0,0,0,0
freedink-engine,,http://www.gnu.org/software/freedink/,0,0,0,0
freedoom,,http://freedoom.github.io/,0,0,0,0
freemedforms-emr,,http://freemedforms.com/en/start,0,0,0,0
freemind,,http://freemind.sourceforge.net,0,0,0,0
frescobaldi,,http://www.frescobaldi.org/,0,0,0,0
fritzing,,http://fritzing.org/,0,0,0,0
frogr,,https://wiki.gnome.org/Apps/Frogr,0,0,0,0
frozen-bubble,,http://www.frozen-bubble.org/,0,0,0,0
fuelmanager,,http://fuelmanager.sourceforge.net,0,0,0,0
funguloids,,http://funguloids.sourceforge.net,0,0,0,0
