lang,field,filter,filter_value,mean,pstdev,number of packages
af,name,,,4.38,20.46,1416
af,summary,,,6.0,23.75,1416
af,description,,,0.28,5.31,1416
af,package stats,,,0.07,2.66,1416
af,name,type,desktop,5.24,22.28,1050
af,summary,type,desktop,8.1,27.28,1050
af,description,type,desktop,0.38,6.16,1050
af,package stats,type,desktop,0.1,3.08,1050
ak,name,,,0,0.0,1416
ak,summary,,,0.07,2.66,1416
ak,description,,,0,0.0,1416
ak,package stats,,,0,0.0,1416
ak,name,type,desktop,0,0.0,1050
ak,summary,type,desktop,0.1,3.08,1050
ak,description,type,desktop,0,0.0,1050
ak,package stats,type,desktop,0,0.0,1050
am,name,,,1.48,12.09,1416
am,summary,,,0.99,9.89,1416
am,description,,,0,0.0,1416
am,package stats,,,0,0.0,1416
am,name,type,desktop,2.0,14.0,1050
am,summary,type,desktop,1.33,11.47,1050
am,description,type,desktop,0,0.0,1050
am,package stats,type,desktop,0,0.0,1050
an,name,,,2.05,14.16,1416
an,summary,,,2.82,16.57,1416
an,description,,,1.27,11.2,1416
an,package stats,,,0.42,6.5,1416
an,name,type,desktop,2.1,14.32,1050
an,summary,type,desktop,3.14,17.45,1050
an,description,type,desktop,1.71,12.98,1050
an,package stats,type,desktop,0.57,7.54,1050
ar,name,,,12.29,32.83,1416
ar,summary,,,12.99,33.62,1416
ar,description,,,1.69,12.91,1416
ar,package stats,,,1.69,12.91,1416
ar,name,type,desktop,15.43,36.12,1050
ar,summary,type,desktop,16.76,37.35,1050
ar,description,type,desktop,2.29,14.94,1050
ar,package stats,type,desktop,2.29,14.94,1050
ara,name,,,0,0.0,1416
ara,summary,,,0.07,2.66,1416
ara,description,,,0,0.0,1416
ara,package stats,,,0,0.0,1416
ara,name,type,desktop,0,0.0,1050
ara,summary,type,desktop,0.1,3.08,1050
ara,description,type,desktop,0,0.0,1050
ara,package stats,type,desktop,0,0.0,1050
as,name,,,5.16,22.11,1416
as,summary,,,7.56,26.43,1416
as,description,,,3.18,17.54,1416
as,package stats,,,0.99,9.89,1416
as,name,type,desktop,6.0,23.75,1050
as,summary,type,desktop,9.33,29.09,1050
as,description,type,desktop,4.29,20.25,1050
as,package stats,type,desktop,1.33,11.47,1050
ast,name,,,4.38,20.46,1416
ast,summary,,,10.03,30.04,1416
ast,description,,,0.35,5.93,1416
ast,package stats,,,1.13,10.57,1416
ast,name,type,desktop,5.43,22.66,1050
ast,summary,type,desktop,13.52,34.2,1050
ast,description,type,desktop,0.48,6.88,1050
ast,package stats,type,desktop,1.52,12.25,1050
az,name,,,1.62,12.64,1416
az,summary,,,1.77,13.17,1416
az,description,,,0,0.0,1416
az,package stats,,,0.07,2.66,1416
az,name,type,desktop,2.19,14.64,1050
az,summary,type,desktop,2.38,15.25,1050
az,description,type,desktop,0,0.0,1050
az,package stats,type,desktop,0.1,3.08,1050
be,name,,,5.65,23.09,1416
be,summary,,,8.76,28.27,1416
be,description,,,1.84,13.43,1416
be,package stats,,,1.98,13.92,1416
be,name,type,desktop,6.95,25.43,1050
be,summary,type,desktop,11.81,32.27,1050
be,description,type,desktop,2.48,15.54,1050
be,package stats,type,desktop,0.95,9.71,1050
be@latin,name,,,2.05,14.16,1416
be@latin,summary,,,2.82,16.57,1416
be@latin,description,,,0,0.0,1416
be@latin,package stats,,,0.56,7.5,1416
be@latin,name,type,desktop,2.38,15.25,1050
be@latin,summary,type,desktop,3.81,19.14,1050
be@latin,description,type,desktop,0,0.0,1050
be@latin,package stats,type,desktop,0.76,8.7,1050
bg,name,,,8.55,27.96,1416
bg,summary,,,16.03,36.69,1416
bg,description,,,1.91,13.68,1416
bg,package stats,,,2.97,16.97,1416
bg,name,type,desktop,10.57,30.75,1050
bg,summary,type,desktop,20.76,40.56,1050
bg,description,type,desktop,2.57,15.83,1050
bg,package stats,type,desktop,3.71,18.91,1050
bg_BG,name,,,0.07,2.66,1416
bg_BG,summary,,,0.07,2.66,1416
bg_BG,description,,,0,0.0,1416
bg_BG,package stats,,,0,0.0,1416
bg_BG,name,type,desktop,0.1,3.08,1050
bg_BG,summary,type,desktop,0.1,3.08,1050
bg_BG,description,type,desktop,0,0.0,1050
bg_BG,package stats,type,desktop,0,0.0,1050
bho,name,,,0.07,2.66,1416
bho,summary,,,0.07,2.66,1416
bho,description,,,0,0.0,1416
bho,package stats,,,0,0.0,1416
bho,name,type,desktop,0.1,3.08,1050
bho,summary,type,desktop,0.1,3.08,1050
bho,description,type,desktop,0,0.0,1050
bho,package stats,type,desktop,0,0.0,1050
bn,name,,,5.79,23.36,1416
bn,summary,,,6.71,25.02,1416
bn,description,,,0.07,2.66,1416
bn,package stats,,,0.35,5.93,1416
bn,name,type,desktop,7.33,26.07,1050
bn,summary,type,desktop,9.05,28.69,1050
bn,description,type,desktop,0.1,3.08,1050
bn,package stats,type,desktop,0.48,6.88,1050
bn_BD,name,,,0.07,2.66,1416
bn_BD,summary,,,0.07,2.66,1416
bn_BD,description,,,0,0.0,1416
bn_BD,package stats,,,0,0.0,1416
bn_BD,name,type,desktop,0.1,3.08,1050
bn_BD,summary,type,desktop,0.1,3.08,1050
bn_BD,description,type,desktop,0,0.0,1050
bn_BD,package stats,type,desktop,0,0.0,1050
bn_IN,name,,,4.94,21.68,1416
bn_IN,summary,,,6.21,24.14,1416
bn_IN,description,,,1.62,12.64,1416
bn_IN,package stats,,,1.06,10.24,1416
bn_IN,name,type,desktop,5.52,22.84,1050
bn_IN,summary,type,desktop,7.52,26.38,1050
bn_IN,description,type,desktop,2.19,14.64,1050
bn_IN,package stats,type,desktop,1.43,11.87,1050
bo,name,,,0.14,3.76,1416
bo,summary,,,0.14,3.76,1416
bo,description,,,0,0.0,1416
bo,package stats,,,0,0.0,1416
bo,name,type,desktop,0.19,4.36,1050
bo,summary,type,desktop,0.19,4.36,1050
bo,description,type,desktop,0,0.0,1050
bo,package stats,type,desktop,0,0.0,1050
br,name,,,2.33,15.09,1416
br,summary,,,3.32,17.91,1416
br,description,,,0.07,2.66,1416
br,package stats,,,0.21,4.6,1416
br,name,type,desktop,2.76,16.39,1050
br,summary,type,desktop,4.48,20.68,1050
br,description,type,desktop,0.1,3.08,1050
br,package stats,type,desktop,0.29,5.34,1050
brx,name,,,0.07,2.66,1416
brx,summary,,,0.14,3.76,1416
brx,description,,,0,0.0,1416
brx,package stats,,,0,0.0,1416
brx,name,type,desktop,0.1,3.08,1050
brx,summary,type,desktop,0.19,4.36,1050
brx,description,type,desktop,0,0.0,1050
brx,package stats,type,desktop,0,0.0,1050
bs,name,,,7.27,25.97,1416
bs,summary,,,14.62,35.33,1416
bs,description,,,7.13,25.74,1416
bs,package stats,,,2.75,16.37,1416
bs,name,type,desktop,7.71,26.68,1050
bs,summary,type,desktop,17.33,37.85,1050
bs,description,type,desktop,9.62,29.49,1050
bs,package stats,type,desktop,3.33,17.95,1050
ca,name,,,8.83,28.37,1416
ca,summary,,,23.23,42.23,1416
ca,description,,,7.63,26.54,1416
ca,package stats,,,5.72,23.22,1416
ca,name,type,desktop,10.86,31.11,1050
ca,summary,type,desktop,30.38,45.99,1050
ca,description,type,desktop,10.29,30.38,1050
ca,package stats,type,desktop,7.62,26.53,1050
ca@valencia,name,,,5.51,22.81,1416
ca@valencia,summary,,,13.7,34.39,1416
ca@valencia,description,,,3.88,19.32,1416
ca@valencia,package stats,,,1.27,11.2,1416
ca@valencia,name,type,desktop,6.29,24.27,1050
ca@valencia,summary,type,desktop,17.71,38.18,1050
ca@valencia,description,type,desktop,5.24,22.28,1050
ca@valencia,package stats,type,desktop,1.71,12.98,1050
ca_ES,name,,,0.07,2.66,1416
ca_ES,summary,,,0.07,2.66,1416
ca_ES,description,,,0,0.0,1416
ca_ES,package stats,,,0.07,2.66,1416
ca_ES,name,type,desktop,0.1,3.08,1050
ca_ES,summary,type,desktop,0.1,3.08,1050
ca_ES,description,type,desktop,0,0.0,1050
ca_ES,package stats,type,desktop,0.1,3.08,1050
ca_valencia,name,,,0,0.0,1416
ca_valencia,summary,,,0.56,7.5,1416
ca_valencia,description,,,0.64,7.95,1416
ca_valencia,package stats,,,0,0.0,1416
ca_valencia,name,type,desktop,0,0.0,1050
ca_valencia,summary,type,desktop,0.76,8.7,1050
ca_valencia,description,type,desktop,0.86,9.22,1050
ca_valencia,package stats,type,desktop,0,0.0,1050
cgg,name,,,0,0.0,1416
cgg,summary,,,0.07,2.66,1416
cgg,description,,,0,0.0,1416
cgg,package stats,,,0,0.0,1416
cgg,name,type,desktop,0,0.0,1050
cgg,summary,type,desktop,0.1,3.08,1050
cgg,description,type,desktop,0,0.0,1050
cgg,package stats,type,desktop,0,0.0,1050
ckb,name,,,0.07,2.66,1416
ckb,summary,,,0.07,2.66,1416
ckb,description,,,0,0.0,1416
ckb,package stats,,,0,0.0,1416
ckb,name,type,desktop,0.1,3.08,1050
ckb,summary,type,desktop,0.1,3.08,1050
ckb,description,type,desktop,0,0.0,1050
ckb,package stats,type,desktop,0,0.0,1050
cmn,name,,,0.42,6.5,1416
cmn,summary,,,1.06,10.24,1416
cmn,description,,,0,0.0,1416
cmn,package stats,,,0.28,5.31,1416
cmn,name,type,desktop,0.57,7.54,1050
cmn,summary,type,desktop,1.43,11.87,1050
cmn,description,type,desktop,0,0.0,1050
cmn,package stats,type,desktop,0.38,6.16,1050
crh,name,,,0.99,9.89,1416
crh,summary,,,1.34,11.51,1416
crh,description,,,0,0.0,1416
crh,package stats,,,0.14,3.76,1416
crh,name,type,desktop,1.33,11.47,1050
crh,summary,type,desktop,1.81,13.33,1050
crh,description,type,desktop,0,0.0,1050
crh,package stats,type,desktop,0.19,4.36,1050
cs,name,,,11.02,31.31,1416
cs,summary,,,26.62,44.2,1416
cs,description,,,8.4,27.74,1416
cs,package stats,,,9.89,29.85,1416
cs,name,type,desktop,12.76,33.37,1050
cs,summary,type,desktop,33.52,47.21,1050
cs,description,type,desktop,11.33,31.7,1050
cs,package stats,type,desktop,11.62,32.05,1050
cs_CZ,name,,,0.14,3.76,1416
cs_CZ,summary,,,0.64,7.95,1416
cs_CZ,description,,,0,0.0,1416
cs_CZ,package stats,,,0.28,5.31,1416
cs_CZ,name,type,desktop,0.19,4.36,1050
cs_CZ,summary,type,desktop,0.86,9.22,1050
cs_CZ,description,type,desktop,0,0.0,1050
cs_CZ,package stats,type,desktop,0.38,6.16,1050
csb,name,,,0.35,5.93,1416
csb,summary,,,1.48,12.09,1416
csb,description,,,0,0.0,1416
csb,package stats,,,0,0.0,1416
csb,name,type,desktop,0.48,6.88,1050
csb,summary,type,desktop,2.0,14.0,1050
csb,description,type,desktop,0,0.0,1050
csb,package stats,type,desktop,0,0.0,1050
cy,name,,,2.97,16.97,1416
cy,summary,,,4.17,19.98,1416
cy,description,,,0,0.0,1416
cy,package stats,,,0,0.0,1416
cy,name,type,desktop,3.62,18.68,1050
cy,summary,type,desktop,5.62,23.03,1050
cy,description,type,desktop,0,0.0,1050
cy,package stats,type,desktop,0,0.0,1050
da,name,,,9.18,28.88,1416
da,summary,,,21.26,40.91,1416
da,description,,,5.37,22.54,1416
da,package stats,,,7.7,26.66,1416
da,name,type,desktop,10.95,31.23,1050
da,summary,type,desktop,27.33,44.57,1050
da,description,type,desktop,7.24,25.91,1050
da,package stats,type,desktop,8.19,27.42,1050
da_DK,name,,,0,0.0,1416
da_DK,summary,,,0.07,2.66,1416
da_DK,description,,,0,0.0,1416
da_DK,package stats,,,0.07,2.66,1416
da_DK,name,type,desktop,0,0.0,1050
da_DK,summary,type,desktop,0.1,3.08,1050
da_DK,description,type,desktop,0,0.0,1050
da_DK,package stats,type,desktop,0.1,3.08,1050
DE,name,,,0,0.0,1416
DE,summary,,,0.07,2.66,1416
DE,description,,,0,0.0,1416
DE,package stats,,,0,0.0,1416
DE,name,type,desktop,0,0.0,1050
