project,type,url,name,summary,description,package stats
0ad,desktop,http://play0ad.com/,0,0,0,0
0install,desktop,http://0install.net,0,0,0,0
mrpt-2d-slam,desktop,http://www.mrpt.org/,0,0,0,0
4Pane,desktop,http://www.4pane.co.uk,0,0,0,0
Add64,desktop,http://www.amsynth.com/add64.html,0,0,0,0
google-android-emoji-fonts,font,https://android.googlesource.com/platform/frameworks/base.git/+/jb-release/data/fonts/,0,0,0,0
BlockOutII,desktop,http://www.blockout.net/blockout2/,0,0,0,0
cmake-gui,desktop,http://www.cmake.org,0,0,0,0
CardManager,desktop,http://cardmanager.wz.cz/,0,0,0,0
CriticalMass,desktop,http://criticalmass.sourceforge.net/,0,0,0,0
FlightGear,desktop,http://www.flightgear.org/,0,0,0,0
gnusim8085,desktop,http://gnusim8085.org/,0,0,0,0
gnome-shell-extension-gpaste,shell-extension,http://github.com/Keruspe/GPaste,0,0,0,0
gameconqueror,desktop,http://code.google.com/p/scanmem/,0,0,0,0
gammaray,desktop,http://www.kdab.com/kdab-products/gammaray/,0,0,0,0
typemade-josefinsansstd-light-fonts,font,http://typemade.mx/,0,0,0,0
kgoldrunner,desktop,https://projects.kde.org/projects/kde/kdegames/kgoldrunner,0,0,0,0
KoboDeluxe,desktop,http://olofson.net/kobodl/,0,0,0,0
libreatlas,desktop,https://www.gaia-gis.it/fossil/libreatlas/home,0,0,0,0
Maelstrom,desktop,http://www.libsdl.org/projects/Maelstrom/,0,0,0,0
hugin,desktop,http://hugin.sourceforge.net/,0,0,0,0
Panini,desktop,http://sourceforge.net/projects/pvqt/,0,0,0,0
playonlinux,desktop,https://www.playonlinux.com/,0,0,0,0
polybori-gui,desktop,http://polybori.sourceforge.net/,0,0,0,0
rodent-diff,desktop,http://xffm.org/rodent-diff.html,0,0,0,0
rodent-fgr,desktop,http://xffm.org/rodent-fgr.html,0,0,0,0
rodent,desktop,http://xffm.org,0,0,0,0
rodent,desktop,http://xffm.org,0,0,0,0
rodent-iconmgr,desktop,http://xffm.org/rodent-iconmgr.html,0,0,0,0
rodent,desktop,http://xffm.org,0,0,0,0
rodent,desktop,http://xffm.org/rodent-fm.html,0,0,0,0
oflb-sportrop-fonts,font,http://openfontlibrary.org/media/files/gluk/287,0,0,0,0
Thunar,desktop,http://xfce.org/projects,0,0,0,0
yagf,desktop,http://symmetrica.net/cuneiform-linux/yagf-en.html,0,0,0,0
aajohan-comfortaa-fonts,font,http://aajohan.deviantart.com,0,0,0,0
abattis-cantarell-fonts,font,http://abattis.org/cantarell/,0,0,0,0
abe,desktop,http://abe.sourceforge.net/,0,0,0,0
abiword,desktop,http://www.abisource.com/,0,0,0,0
adf-accanthis-2-fonts,font,http://arkandis.tuxfamily.org/adffonts.html,0,0,0,0
adf-gillius-2-fonts,font,http://arkandis.tuxfamily.org/adffonts.html,0,0,0,0
adf-tribun-fonts,font,http://arkandis.tuxfamily.org/adffonts.html,0,0,0,0
admeshgui,desktop,http://admesh.org/,0,0,0,0
adobe-source-code-pro-fonts,font,http://sourceforge.net/projects/sourcecodepro.adobe,0,0,0,0
aeskulap,desktop,https://github.com/jenslody/aeskulap,0,0,0,0
airtv,desktop,https://github.com/juhovh/shairplay/,0,0,0,0
aldusleaf-crimson-text-fonts,font,http://aldusleaf.org/0-crimson.html,0,0,0,0
ht-alegreya-fonts,font,http://www.huertatipografica.com.ar/tipografias/alegreya/ejemplos.html,0,0,0,0
alexandria,desktop,http://alexandria.rubyforge.org/,0,0,0,0
alienarena,desktop,http://red.planetarena.org/,0,0,0,0
allgeyer-fonts-common,font,http://www.icogitate.com/~ergosum/fonts/musicfonts.htm,0,0,0,0
almanah,desktop,https://wiki.gnome.org/Apps/Almanah_Diary,0,0,0,0
almas-mongolian-title-fonts,font,http://www.mongolfont.com/en/font/mngltitleotf.html,0,0,0,0
alt-ergo-gui,desktop,http://alt-ergo.ocamlpro.com/,0,0,0,0
gnome-shell-extension-alternate-tab,shell-extension,http://git.gnome.org/gnome-shell-extensions,0,0,0,0
amarok,desktop,http://amarok.kde.org,0,0,0,0
amoebax,desktop,http://www.emma-soft.com/games/amoebax/,0,0,0,0
amsynth,desktop,https://code.google.com/p/amsynth/,0,0,0,0
anjuta,desktop,https://projects.gnome.org/anjuta/,0,0,0,0
anka-coder-condensed-fonts,font,https://code.google.com/p/anka-coder-fonts/,0,0,0,0
anki,desktop,http://ankisrs.net/,0,0,0,0
ibus-anthy-python,inputmethod,https://github.com/ibus/ibus/wiki,0,0,0,0
antimicro,desktop,https://github.com/Ryochan7/antimicro,0,0,0,0
antimony,desktop,http://www.mattkeeter.com/projects/antimony/3/,0,0,0,0
apa-new-athena-unicode-fonts,font,http://apagreekkeys.org/NAUdownload.html,0,0,0,0
apanov-edrip-fonts,font,http://code.google.com/p/edrip,0,0,0,0
apanov-heuristica-fonts,font,http://sourceforge.net/projects/heuristica/,0,0,0,0
