project,type,url,name,summary,description,package stats
0install,desktop,http://0install.net,0,0,0,0
mrpt-2d-slam,desktop,http://www.mrpt.org/,0,0,0,0
4Pane,desktop,http://www.4pane.co.uk,0,0,0,0
90-Second-Portraits,desktop,http://tangramgames.dk/games/90secondportraits/,0,0,0,0
Add64,desktop,http://www.amsynth.com/add64.html,0,0,0,0
google-android-emoji-fonts,font,https://android.googlesource.com/platform/frameworks/base.git/+/jb-release/data/fonts/,0,0,0,0
BlockOutII,desktop,http://www.blockout.net/blockout2/,0,0,0,0
camotics,desktop,http://camotics.org/,0,0,0,0
COPASI-gui,desktop,http://copasi.org/,0,0,0,0
cube,desktop,http://www.scalasca.org/software/cube-4.x/download.html,0,0,0,0
CardManager,desktop,http://cardmanager.wz.cz/,0,0,0,0
CriticalMass,desktop,http://criticalmass.sourceforge.net/,0,0,0,0
gnusim8085,desktop,http://gnusim8085.org/,0,0,0,0
gnome-shell-extension-gpaste,shell-extension,http://github.com/Keruspe/GPaste,0,0,0,0
gameconqueror,desktop,https://github.com/scanmem/scanmem,0,0,0,0
gammaray,desktop,https://www.kdab.com/gammaray/,0,0,0,0
GoldenCheetah,desktop,http://www.goldencheetah.org/,0,0,0,0
hplip-gui,desktop,http://hplipopensource.com/,0,0,0,0
Maelstrom,desktop,http://www.libsdl.org/projects/Maelstrom/,0,0,0,0
onboard-data,shell-extension,https://launchpad.net/onboard/,0,0,0,0
orion,desktop,https://alamminsalo.github.io/orion/,0,0,0,0
hugin,desktop,http://hugin.sourceforge.net/,0,0,0,0
playonlinux,desktop,https://www.playonlinux.com/,0,0,0,0
prestopalette,desktop,https://github.com/PrestoPalette/PrestoPalette,0,0,0,0
Ri-li,desktop,http://ri-li.sourceforge.net/,0,0,0,0
openms,desktop,http://www.openms.de,0,0,0,0
openms,desktop,http://www.openms.de,0,0,0,0
gnome-shell-extension-topicons-plus,shell-extension,https://github.com/phocean/TopIcons-plus,0,0,0,0
yagf,desktop,http://symmetrica.net/cuneiform-linux/yagf-en.html,0,0,0,0
zegrapher,desktop,https://zegrapher.com/,0,0,0,0
aajohan-comfortaa-fonts,font,http://aajohan.deviantart.com,0,0,0,0
abbayedesmorts-gpl,desktop,https://github.com/nevat/abbayedesmorts-gpl,0,0,0,0
abe,desktop,http://abe.sourceforge.net/,0,0,0,0
abiword,desktop,http://www.abisource.com/,0,0,0,0
accerciser,desktop,https://wiki.gnome.org/action/show/Apps/Accerciser,0,0,0,0
gnome-shell-extension-activities-configurator,shell-extension,https://nls1729.github.io/activities_config.html,0,0,0,0
adf-accanthis-2-fonts,font,http://arkandis.tuxfamily.org/adffonts.html,0,0,0,0
adf-gillius-2-fonts,font,http://arkandis.tuxfamily.org/adffonts.html,0,0,0,0
adf-tribun-fonts,font,http://arkandis.tuxfamily.org/adffonts.html,0,0,0,0
admeshgui,desktop,http://admesh.org/,0,0,0,0
adobe-source-code-pro-fonts,font,https://github.com/adobe-fonts/source-code-pro,0,0,0,0
aeskulap,desktop,https://github.com/jenslody/aeskulap,0,0,0,0
aftertheflood-sparks-bar-fonts,font,https://aftertheflood.co/projects/sparks/,0,0,0,0
aftertheflood-sparks-dot-fonts,font,https://aftertheflood.co/projects/sparks/,0,0,0,0
aftertheflood-sparks-dot-line-fonts,font,https://aftertheflood.co/projects/sparks/,0,0,0,0
airtv,desktop,https://github.com/juhovh/shairplay/,0,0,0,0
ht-alegreya-fonts,font,http://www.huertatipografica.com.ar/tipografias/alegreya/ejemplos.html,0,0,0,0
alex4,desktop,https://obiot.github.io/Alex4-WE/readme.html,0,0,0,0
alexandria,desktop,http://alexandria.rubyforge.org/,0,0,0,0
alienarena,desktop,http://red.planetarena.org/,0,0,0,0
allgeyer-fonts-common,font,http://www.icogitate.com/~ergosum/fonts/musicfonts.htm,0,0,0,0
almanah,desktop,https://wiki.gnome.org/Apps/Almanah_Diary,0,0,0,0
alt-ergo-gui,desktop,http://alt-ergo.ocamlpro.com/,0,0,0,0
amoebax,desktop,http://www.emma-soft.com/games/amoebax/,0,0,0,0
amsynth,generic,http://amsynth.github.io/,0,0,0,0
android-file-transfer,desktop,https://whoozle.github.io/android-file-transfer-linux/,0,0,0,0
anjuta,desktop,https://projects.gnome.org/anjuta/,0,0,0,0
