lang,field,filter,filter_value,mean,pstdev,number of packages
ca,name,,,15.35,36.04,1603
ca,summary,,,32.75,46.93,1603
ca,description,,,18.28,38.65,1603
ca,package stats,,,14.35,35.06,1603
ca,name,type,desktop,13.1,33.73,924
ca,summary,type,desktop,41.13,49.21,924
ca,description,type,desktop,31.17,46.32,924
ca,package stats,type,desktop,23.38,42.32,924
ar_DZ,name,,,0,0.0,1603
ar_DZ,summary,,,0.06,2.5,1603
ar_DZ,description,,,0.06,2.5,1603
ar_DZ,package stats,,,0,0.0,1603
ar_DZ,name,type,desktop,0,0.0,924
ar_DZ,summary,type,desktop,0.11,3.29,924
ar_DZ,description,type,desktop,0.11,3.29,924
ar_DZ,package stats,type,desktop,0,0.0,924
ca@valencia,name,,,11.67,32.1,1603
ca@valencia,summary,,,19.53,39.64,1603
ca@valencia,description,,,4.62,20.98,1603
ca@valencia,package stats,,,9.36,29.12,1603
ca@valencia,name,type,desktop,9.63,29.5,924
ca@valencia,summary,type,desktop,22.73,41.91,924
ca@valencia,description,type,desktop,8.01,27.14,924
ca@valencia,package stats,type,desktop,15.04,35.75,924
es_CO,name,,,0.12,3.53,1603
es_CO,summary,,,0.25,4.99,1603
es_CO,description,,,0.19,4.32,1603
es_CO,package stats,,,0,0.0,1603
es_CO,name,type,desktop,0.22,4.65,924
es_CO,summary,type,desktop,0.43,6.57,924
es_CO,description,type,desktop,0.32,5.69,924
es_CO,package stats,type,desktop,0,0.0,924
ak,name,,,0,0.0,1603
ak,summary,,,0.19,4.32,1603
ak,description,,,0,0.0,1603
ak,package stats,,,0,0.0,1603
ak,name,type,desktop,0,0.0,924
ak,summary,type,desktop,0.32,5.69,924
ak,description,type,desktop,0,0.0,924
ak,package stats,type,desktop,0,0.0,924
fa,name,,,8.86,28.41,1603
fa,summary,,,9.05,28.68,1603
fa,description,,,3.56,18.52,1603
fa,package stats,,,0.94,9.63,1603
fa,name,type,desktop,13.1,33.73,924
fa,summary,type,desktop,14.5,35.21,924
fa,description,type,desktop,6.06,23.86,924
fa,package stats,type,desktop,0.43,6.57,924
zh-Hant,name,,,0.06,2.5,1603
zh-Hant,summary,,,0.06,2.5,1603
