total,untranslated,needReview,translated,approved,rejected,translatedOnly,fuzzy,unit,locale,lastTranslated,project,version/iteration
102,0,0,102,0,0,102,0,MESSAGE,en,26/06/19 10:04 by framasky,framinetest,master
1057,0,0,1057,0,0,1057,0,WORD,en,26/06/19 10:04 by framasky,framinetest,master
102,102,0,0,0,0,0,0,MESSAGE,eo,,framinetest,master
1057,1057,0,0,0,0,0,0,WORD,eo,,framinetest,master
102,0,0,102,0,0,102,0,MESSAGE,it,26/06/19 10:05 by framasky,framinetest,master
1057,0,0,1057,0,0,1057,0,WORD,it,26/06/19 10:05 by framasky,framinetest,master
102,0,0,102,0,0,102,0,MESSAGE,fr,26/06/19 10:05 by framasky,framinetest,master
1057,0,0,1057,0,0,1057,0,WORD,fr,26/06/19 10:05 by framasky,framinetest,master
102,102,0,0,0,0,0,0,MESSAGE,hu,,framinetest,master
1057,1057,0,0,0,0,0,0,WORD,hu,,framinetest,master
102,2,0,100,0,0,100,0,MESSAGE,es,23/01/19 16:25 by oxydenz,framinetest,master
1057,41,0,1016,0,0,1016,0,WORD,es,23/01/19 16:25 by oxydenz,framinetest,master
102,102,0,0,0,0,0,0,MESSAGE,br,,framinetest,master
1057,1057,0,0,0,0,0,0,WORD,br,,framinetest,master
102,102,0,0,0,0,0,0,MESSAGE,ar,,framinetest,master
1057,1057,0,0,0,0,0,0,WORD,ar,,framinetest,master
102,102,0,0,0,0,0,0,MESSAGE,oc,,framinetest,master
1057,1057,0,0,0,0,0,0,WORD,oc,,framinetest,master
102,102,0,0,0,0,0,0,MESSAGE,nl,,framinetest,master
1057,1057,0,0,0,0,0,0,WORD,nl,,framinetest,master
102,102,0,0,0,0,0,0,MESSAGE,ca,,framinetest,master
1057,1057,0,0,0,0,0,0,WORD,ca,,framinetest,master
102,102,0,0,0,0,0,0,MESSAGE,de,,framinetest,master
1057,1057,0,0,0,0,0,0,WORD,de,,framinetest,master
102,102,0,0,0,0,0,0,MESSAGE,ru,,framinetest,master
1057,1057,0,0,0,0,0,0,WORD,ru,,framinetest,master
102,102,0,0,0,0,0,0,MESSAGE,sv,,framinetest,master
1057,1057,0,0,0,0,0,0,WORD,sv,,framinetest,master
305,0,0,305,0,0,305,0,MESSAGE,en,04/09/18 15:44 by framabot,soutenir,master
4686,0,0,4686,0,0,4686,0,WORD,en,04/09/18 15:44 by framabot,soutenir,master
305,305,0,0,0,0,0,0,MESSAGE,eo,,soutenir,master
4686,4686,0,0,0,0,0,0,WORD,eo,,soutenir,master
305,305,0,0,0,0,0,0,MESSAGE,it,,soutenir,master
4686,4686,0,0,0,0,0,0,WORD,it,,soutenir,master
305,0,0,305,0,0,305,0,MESSAGE,fr,04/09/18 15:45 by framabot,soutenir,master
4686,0,0,4686,0,0,4686,0,WORD,fr,04/09/18 15:45 by framabot,soutenir,master
305,305,0,0,0,0,0,0,MESSAGE,hu,,soutenir,master
4686,4686,0,0,0,0,0,0,WORD,hu,,soutenir,master
305,305,0,0,0,0,0,0,MESSAGE,es,,soutenir,master
4686,4686,0,0,0,0,0,0,WORD,es,,soutenir,master
305,305,0,0,0,0,0,0,MESSAGE,br,,soutenir,master
4686,4686,0,0,0,0,0,0,WORD,br,,soutenir,master
305,305,0,0,0,0,0,0,MESSAGE,ar,,soutenir,master
4686,4686,0,0,0,0,0,0,WORD,ar,,soutenir,master
305,305,0,0,0,0,0,0,MESSAGE,oc,,soutenir,master
4686,4686,0,0,0,0,0,0,WORD,oc,,soutenir,master
305,305,0,0,0,0,0,0,MESSAGE,nl,,soutenir,master
4686,4686,0,0,0,0,0,0,WORD,nl,,soutenir,master
305,305,0,0,0,0,0,0,MESSAGE,ca,,soutenir,master
4686,4686,0,0,0,0,0,0,WORD,ca,,soutenir,master
305,302,0,3,0,0,3,0,MESSAGE,de,16/05/19 21:34 by jeff,soutenir,master
4686,4681,0,5,0,0,5,0,WORD,de,16/05/19 21:34 by jeff,soutenir,master
305,305,0,0,0,0,0,0,MESSAGE,ru,,soutenir,master
4686,4686,0,0,0,0,0,0,WORD,ru,,soutenir,master
23,23,0,0,0,0,0,0,MESSAGE,bg,,framalink,master
196,196,0,0,0,0,0,0,WORD,bg,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,lt,,framalink,master
196,196,0,0,0,0,0,0,WORD,lt,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,hr,,framalink,master
196,196,0,0,0,0,0,0,WORD,hr,,framalink,master
23,23,0,0,0,0,0,0,MESSAGE,lv,,framalink,master
196,196,0,0,0,0,0,0,WORD,lv,,framalink,master
23,0,0,23,23,0,0,0,MESSAGE,fr,,framalink,master
196,0,0,196,196,0,0,0,WORD,fr,,framalink,master
23,0,0,23,23,0,0,0,MESSAGE,hu,,framalink,master
196,0,0,196,196,0,0,0,WORD,hu,,framalink,master
23,0,0,23,0,0,23,0,MESSAGE,br,06/04/18 06:51 by framasky,framalink,master
