total,untranslated,needReview,translated,approved,rejected,translatedOnly,fuzzy,unit,locale,lastTranslated,project,version/iteration
112,112,0,0,0,0,0,0,MESSAGE,sq,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,sq,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,ar,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,ar,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,as,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,as,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,ast,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,ast,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,bal,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,bal,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,eu,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,eu,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,bn,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,bn,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,bn-IN,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,bn-IN,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,brx,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,brx,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,bs,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,bs,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,br,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,br,,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,bg,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,bg,,ibus-table,master
112,0,0,112,0,0,112,0,MESSAGE,ca,25/08/16 07:02 by rbuj,ibus-table,master
841,0,0,841,0,0,841,0,WORD,ca,25/08/16 07:02 by rbuj,ibus-table,master
112,40,5,67,0,0,67,5,MESSAGE,zh-CN,17/12/14 03:44 by pany,ibus-table,master
841,596,24,221,0,0,221,24,WORD,zh-CN,17/12/14 03:44 by pany,ibus-table,master
112,112,0,0,0,0,0,0,MESSAGE,zh-HK,,ibus-table,master
841,841,0,0,0,0,0,0,WORD,zh-HK,,ibus-table,master
112,30,0,82,0,0,82,0,MESSAGE,zh-TW,29/11/14 09:15 by zerng07,ibus-table,master
841,405,0,436,0,0,436,0,WORD,zh-TW,29/11/14 09:15 by zerng07,ibus-table,master
